Cod. Reg;Regione / Region;Cod. Prov.;Provincia / Province;Comune / Municipality;Cod. Istat;flag;Arrivi / Arrivals;;;;;;;;;;Presenze / Nights spent;;;;;;;;
;;;;;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;
;;;;;;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals
 010 ;PIEMONTE;001;TORINO;Rosta;001228;; 8.467 ; 163 ; 8.630 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 21.162 ; 313 ; 21.475 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Salbertrand;001232;; 1.621 ; 1.140 ; 2.761 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 4.892 ; 3.811 ; 8.703 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;San Francesco al Campo;001240;; 6.027 ; 4.248 ; 10.275 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 11.617 ; 7.474 ; 19.091 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;San Maurizio Canavese;001248;; 3.058 ; 328 ; 3.386 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 14.086 ; 1.089 ; 15.175 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Sauze d'Oulx;001259;; 15.038 ; 17.298 ; 32.336 ; 12.019 ; 16.196 ; 28.215 ; 3.019 ; 1.102 ; 4.121 ;; 52.922 ; 83.908 ; 136.830 ; 41.049 ; 76.990 ; 118.039 ; 11.873 ; 6.918 ; 18.791 
 010 ;PIEMONTE;001;TORINO;Sestriere;001263;; 39.571 ; 40.023 ; 79.594 ; 36.444 ; 38.997 ; 75.441 ; 3.127 ; 1.026 ; 4.153 ;; 147.201 ; 176.024 ; 323.225 ; 134.688 ; 169.273 ; 303.961 ; 12.513 ; 6.751 ; 19.264 
 010 ;PIEMONTE;001;TORINO;Settimo Torinese;001265;; 21.488 ; 840 ; 22.328 ; 20.876 ; 810 ; 21.686 ; 612 ; 30 ; 642 ;; 46.361 ; 2.628 ; 48.989 ; 36.561 ; 1.904 ; 38.465 ; 9.800 ; 724 ; 10.524 
 010 ;PIEMONTE;001;TORINO;Settimo Vittone;001266;; 2.671 ; 1.952 ; 4.623 ; 1.662 ; 337 ; 1.999 ; 1.009 ; 1.615 ; 2.624 ;; 7.835 ; 3.605 ; 11.440 ; 5.313 ; 662 ; 5.975 ; 2.522 ; 2.943 ; 5.465 
 010 ;PIEMONTE;001;TORINO;Susa;001270;; 5.280 ; 5.051 ; 10.331 ; 2.677 ; 4.698 ; 7.375 ; 2.603 ; 353 ; 2.956 ;; 18.590 ; 6.546 ; 25.136 ; 7.553 ; 5.806 ; 13.359 ; 11.037 ; 740 ; 11.777 
 010 ;PIEMONTE;001;TORINO;Torino;001272;; 822.476 ; 342.821 ; 1.165.297 ; 744.215 ; 312.505 ; 1.056.720 ; 78.261 ; 30.316 ; 108.577 ;; 2.544.274 ; 1.118.213 ; 3.662.487 ; 1.655.597 ; 749.819 ; 2.405.416 ; 888.677 ; 368.394 ; 1.257.071 
